Date,Holiday
2018-01-01,New Year's Day
2018-02-21,Robert Gabriel Mugabe National Youth Day
2018-03-21,Human Rights Day
2018-03-30,Good Friday
2018-03-31,Easter Saturday
2018-04-02,Family Day
2018-04-18,Independence Day
2018-04-27,Freedom Day
2018-05-01,Workers' Day
2018-05-25,Africa Day
2018-06-16,Youth Day
2018-08-09,National Women's Day
2018-08-13,Zimbabwe Heroes' Day
2018-08-14,Defense Forces Day
2018-09-24,Heritage Day
2018-12-16,Day of Reconciliation
2018-12-17,Day of Reconciliation (Observed)
2018-12-22,Unity Day
2018-12-25,Christmas Day
2018-12-26,Day of Goodwill
2019-01-01,New Year's Day
2019-02-21,Robert Gabriel Mugabe National Youth Day
2019-03-21,Human Rights Day
2019-04-18,Independence Day
2019-04-19,Good Friday
2019-04-20,Easter Saturday
2019-04-22,Family Day
2019-04-27,Freedom Day
2019-05-01,Workers' Day
2019-05-08,National and provincial government elections
2019-05-25,Africa Day
2019-06-16,Youth Day
2019-06-17,Youth Day (Observed)
2019-08-09,National Women's Day
2019-08-12,Zimbabwe Heroes' Day
2019-08-13,Defense Forces Day
2019-09-24,Heritage Day
2019-12-16,Day of Reconciliation
2019-12-22,Unity Day
2019-12-23,Unity Day (Observed)
2019-12-25,Christmas Day
2019-12-26,Day of Goodwill
2020-01-01,New Year's Day
2020-02-21,Robert Gabriel Mugabe National Youth Day
2020-03-21,Human Rights Day
2020-04-10,Good Friday
2020-04-11,Easter Saturday
2020-04-13,Family Day
2020-04-18,Independence Day
2020-04-27,Freedom Day
2020-05-01,Workers' Day
2020-05-25,Africa Day
2020-06-16,Youth Day
2020-08-09,National Women's Day
2020-08-10,National Women's Day (Observed)
2020-08-11,Defense Forces Day
2020-09-24,Heritage Day
2020-12-16,Day of Reconciliation
2020-12-22,Unity Day
2020-12-25,Christmas Day
2020-12-26,Day of Goodwill
2021-01-01,New Year's Day
2021-02-21,Robert Gabriel Mugabe National Youth Day
2021-02-22,Robert Gabriel Mugabe National Youth Day (Observed)
2021-03-21,Human Rights Day
2021-03-22,Human Rights Day (Observed)
2021-04-02,Good Friday
2021-04-03,Easter Saturday
2021-04-05,Family Day
2021-04-18,Independence Day
2021-04-19,Independence Day (Observed)
2021-04-27,Freedom Day
2021-05-01,Workers' Day
2021-05-25,Africa Day
2021-06-16,Youth Day
2021-08-09,National Women's Day
2021-08-10,Defense Forces Day
2021-09-24,Heritage Day
2021-11-01,Municipal elections
2021-12-16,Day of Reconciliation
2021-12-22,Unity Day
2021-12-25,Christmas Day
2021-12-26,Day of Goodwill
2021-12-27,Day of Goodwill (Observed)
2022-01-01,New Year's Day
2022-02-21,Robert Gabriel Mugabe National Youth Day
2022-03-21,Human Rights Day
2022-04-15,Good Friday
2022-04-16,Easter Saturday
2022-04-18,Family Day
2022-04-27,Freedom Day
2022-05-01,Workers' Day
2022-05-02,Workers' Day (Observed)
2022-05-25,Africa Day
2022-06-16,Youth Day
2022-08-08,Zimbabwe Heroes' Day
2022-08-09,National Women's Day
2022-09-24,Heritage Day
2022-12-16,Day of Reconciliation
2022-12-22,Unity Day
2022-12-25,Christmas Day
2022-12-26,Day of Goodwill
2022-12-27,Public holiday by presidential decree
